Post_ID,User,Likes,Comments,Shares
1,Priya,250,35,12
2,Sam,400,50,20
3,Rohan,180,22,8
4,Riva,520,70,30
5,Era,90,23,5
6,Mahi,412,50,22
7,Aarav,325,42,15
8,Siya,480,65,27
9,Neha,275,31,11
10,Kabir,150,18,6
11,Anaya,455,62,25
12,Dev,390,45,17
13,Isha,350,40,16
14,Rahul,680,85,35
15,Diya,920,110,48
16,Arjun,540,68,29
17,Meera,760,92,41
18,Karan,315,38,14
19,Tanya,1120,135,58
20,Vansh,470,55,24
21,Nisha,850,105,45
22,Aditya,630,76,32
23,Pooja,285,34,13
24,Yash,740,88,37
25,Riya,1250,150,65
26,Manav,395,48,19
27,Aanya,580,72,31
28,Vivaan,990,120,52
29,Kavya,445,57,23
30,Reyansh,710,84,36
31,Sneha,365,44,18
32,Dhruv,1180,142,61
33,Avni,525,63,27
34,Krish,805,96,43
35,Anvi,460,52,21
36,Aryan,1340,160,70
37,Ira,275,30,12
38,Rudra,670,80,34
39,Myra,1080,128,55
40,Veer,495,60,25
41,Priya,730,89,38
42,Sam,890,108,46
43,Rohan,340,41,17
44,Riva,1450,175,76
45,Era,210,27,9
46,Mahi,615,74,31
47,Aarav,780,94,40
48,Siya,1320,155,68
49,Neha,560,67,28
50,Kabir,305,36,14
51,Anaya,1010,122,51
52,Dev,685,82,35
53,Isha,430,49,20
54,Rahul,1560,185,82
55,Diya,820,99,42
56,Arjun,1170,138,59
57,Meera,640,78,33
58,Karan,275,32,12
59,Tanya,1680,198,88
60,Vansh,520,62,26
61,Nisha,940,113,48
62,Aditya,760,91,39
63,Pooja,380,45,18
64,Yash,1280,152,64
65,Riya,1750,205,92
66,Manav,445,53,22
67,Aanya,695,83,35
68,Vivaan,1520,180,79
69,Kavya,590,70,29
70,Reyansh,870,103,44
71,Sneha,410,48,20
72,Dhruv,1890,220,98
73,Avni,735,87,37
74,Krish,1260,149,62
75,Anvi,505,61,25
76,Aryan,2100,245,108
77,Ira,330,39,15
78,Rudra,910,109,47
79,Myra,1440,170,73
80,Veer,620,75,31
81,Priya,980,117,49
82,Sam,1380,164,69
83,Rohan,515,62,25
84,Riva,2250,260,115
85,Era,295,34,13
86,Mahi,810,97,41
87,Aarav,1160,139,58
88,Siya,1980,230,101
89,Neha,675,81,34
90,Kabir,420,50,20
91,Anaya,1480,176,74
92,Dev,925,110,46
93,Isha,605,72,30
94,Rahul,1780,210,89
95,Diya,1240,146,61
96,Arjun,1640,193,82
97,Meera,875,104,43
98,Karan,390,46,18
99,Tanya,2150,252,107
100,Vansh,710,85,35
